分类: 央视, 名称: 老故事, 有效: 1, IPv4: 50, IPv6: 0, 最小延迟: 803 ms, 最高速率: 2.54 M/s, 平均速率: 1.31 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 北京卫视, 有效: 3, IPv4: 340, IPv6: 0, 最小延迟: 459 ms, 最高速率: 8.77 M/s, 平均速率: 4.08 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 广东卫视, 有效: 4, IPv4: 317, IPv6: 0, 最小延迟: 132 ms, 最高速率: 37.45 M/s, 平均速率: 12.61 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 河南卫视, 有效: 3, IPv4: 268, IPv6: 0, 最小延迟: 159 ms, 最高速率: 3.41 M/s, 平均速率: 2.64 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视, 名称: 海南卫视, 有效: 3, IPv4: 202, IPv6: 0, 最小延迟: 43 ms, 最高速率: 8.77 M/s, 平均速率: 4.29 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 湖北卫视, 有效: 3, IPv4: 277, IPv6: 0, 最小延迟: 414 ms, 最高速率: 8.77 M/s, 平均速率: 4.40 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 重庆卫视, 有效: 3, IPv4: 258, IPv6: 0, 最小延迟: 378 ms, 最高速率: 11.26 M/s, 平均速率: 7.07 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 江西卫视, 有效: 3, IPv4: 259, IPv6: 0, 最小延迟: 326 ms, 最高速率: 12.44 M/s, 平均速率: 7.42 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 辽宁卫视, 有效: 3, IPv4: 256, IPv6: 0, 最小延迟: 400 ms, 最高速率: 8.77 M/s, 平均速率: 7.49 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 吉林卫视, 有效: 3, IPv4: 236, IPv6: 0, 最小延迟: 370 ms, 最高速率: 10.97 M/s, 平均速率: 7.02 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 陕西卫视, 有效: 5, IPv4: 156, IPv6: 0, 最小延迟: 53 ms, 最高速率: 9.30 M/s, 平均速率: 4.40 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视, 名称: 宁夏卫视, 有效: 5, IPv4: 150, IPv6: 0, 最小延迟: 48 ms, 最高速率: 10.55 M/s, 平均速率: 4.06 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视, 名称: 青海卫视, 有效: 3, IPv4: 183, IPv6: 0, 最小延迟: 61 ms, 最高速率: 9.03 M/s, 平均速率: 5.06 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视, 名称: 甘肃卫视, 有效: 3, IPv4: 176, IPv6: 0, 最小延迟: 72 ms, 最高速率: 7.81 M/s, 平均速率: 3.55 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视, 名称: 三沙卫视, 有效: 3, IPv4: 116, IPv6: 0, 最小延迟: 67 ms, 最高速率: 11.24 M/s, 平均速率: 6.54 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视, 名称: 兵团卫视, 有效: 3, IPv4: 113, IPv6: 0, 最小延迟: 42 ms, 最高速率: 2.05 M/s, 平均速率: 1.20 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视, 名称: 延边卫视, 有效: 2, IPv4: 39, IPv6: 0, 最小延迟: 48 ms, 最高速率: 2.20 M/s, 平均速率: 1.25 M/s, 最高分辨率: 1280x720, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视, 名称: 中国教育1台, 有效: 3, IPv4: 154, IPv6: 0, 最小延迟: 42 ms, 最高速率: 8.49 M/s, 平均速率: 5.92 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视, 名称: 山东教育卫视, 有效: 2, IPv4: 60, IPv6: 0, 最小延迟: 1233 ms, 最高速率: 0.30 M/s, 平均速率: 0.29 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视, 名称: 凤凰中文, 有效: 1, IPv4: 75, IPv6: 0, 最小延迟: 291 ms, 最高速率: 21.65 M/s, 平均速率: 1.04 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: mpeg2video, 音频编解码器: aac
分类: 卫视, 名称: 深圳卫视, 有效: 3, IPv4: 281, IPv6: 0, 最小延迟: 402 ms, 最高速率: 10.35 M/s, 平均速率: 8.27 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 浙江卫视, 有效: 3, IPv4: 300, IPv6: 0, 最小延迟: 396 ms, 最高速率: 8.77 M/s, 平均速率: 3.68 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 天津卫视, 有效: 3, IPv4: 273, IPv6: 0, 最小延迟: 403 ms, 最高速率: 8.77 M/s, 平均速率: 6.94 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 山东卫视, 有效: 3, IPv4: 256, IPv6: 0, 最小延迟: 334 ms, 最高速率: 8.84 M/s, 平均速率: 4.13 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
